id,site,description,characteristics,updateevery,category,icon,order,rank,score,title
budget,global,"<p>National government budget at a high level, that is the planned government expenditure for the upcoming year, and not the actual expenditure. Open budget data allows for well-informed publics: showing where money is spent on, how public funds develop over time, and why certain activities are funded. We recommend that you consult our methodology section for more information.</p>
",Budget per government department;Budget per sub-department;Descriptions for budget sections,year,Finance,,0,1,70,Government Budget
statistics,global,"<p>Key national statistics on demographic and economic indicators such as Gross Domestic Product (GDP), or unemployment and population statistics. See our methodology section for more information.</p>
",Gross Domestic Product;National unemployment;National population,"3 months (GDP, unemployment), or year (population)",Civic Information,,5,2,69,National Statistics
procurement,global,"<p>All tenders and awards of the national/federal government aggregated by office. It does not look into procurement planning or other procurement phases. Open procurement data may enable fairer competition among companies, allow to detect fraud, as well as deliver better services for governments and citizens. Monitoring tenders helps new groups to participate in tenders and to increase government compliance. The Index draws on work from the <a href=""http://www.open-contracting.org"">Open Contracting Partnership</a>. See our methodology for more information.</p>
",Tenders per government office;Awards per government office;Tender name;Tender description;Tender status;Award title;Award description;Value of the award;Supplier's name,month,Finance,,11,3,51,Procurement
law,global,"<p>This data category requires all national laws and statutes to be available online, although it is not a requirement that information on legislative behaviour e.g. voting records is available.</p>
",Content of the law / status;Date of last amendment;Amendments to the law (if applicable),3 months,Legislative,,6,4,50,National Laws
boundaries,global,"<p>Data on administrative units or areas defined for the purpose of administration by a (local) government. See our methodology section for more information.</p>
","Boundary level 1;Boundary level 2;Coordinates (latitude, longitude);Name of poligone (department, region, city);Borders of poligone",year,Geodata,,9,5,44,Administrative Boundaries
draftlegislation,global,"<p>Data about the bills discussed within national parliament as well as votings on bills (not to mix with passed national law). Data on bills must be available for the current legislation period. Open data on the law-making process is crucial for parliamentary transparency: What does a bill text say and how does it change over time? Who introduces a bill? Who votes for and against it? Where is a bill discussed next, so the public can participate in debates? This data category draws on work by the <a href=""https://www.ndi.org"">National Democratic Institute (NDI)</a> and the <a href=""https://openingparliament.org/declaration/"">Declaration of Parliamentary Openness</a>.</p>
",Content of bill;Author of bill;Votes on bill per member of parliament;Transcripts of debates on bill;Status of bill,week after a legislative decision has been made,Legislative,,7,6,42,Draft Legislation
emissions,global,"<p>Data about the daily mean concentration of air pollutants, especially those potentially harmful to human health. Data should be available for all air monitoring stations or air monitoring zones in a country. The Index focusses on key pollutants as defined by the <a href=""http://www.who.int/phe/health_topics/outdoorair/outdoorair_aqg/en/"">World Health Organisation</a>. See our methodology section for more information.</p>
",Particulate matter (PM);Sulphur oxides (SOx);Nitrogen oxides (NOx);Carbon monoxide (CO);Ozone;Volatile organic compounds (VOCs);Available per air monitoring station/zone,day,Environment,,10,7,39,Air Quality
map,global,"<p>A geographical map of the country including national traffic routes, stretches of water, and markings of heights. The map must at least be provided at a scale of 1:250,000 (1 cm = 2.5km). Geographic information is instrumental for many use cases, including the mapping of unemployment statistics or demographics, as well as journey planning. See our methodology section for more information.</p>
","Scale of 1:250,000 (1 cm = 2.5km);Markings of national traffic routes;Markings of relief/heights;Markings of water stretches;National borders",year,Geodata,,4,8,36,National Maps
weather,global,"<p>3-day forecasts of temperature, precipitation and wind. Forecasts have to be provided for several regions in the country. Short-term weather forecasts are relevant for the general public to plan activities, while also being reliable. See our methodology section for more information.</p>
",Temperature extremes;Temperature average;Wind speed;Wind direction;Precipitation Amount;Precipitation Probability;Forecast for current day and four following days,day,Environment,,14,9,34,Weather Forecast
companies,global,"<p>List of registered (limited liability) companies. The submissions in this data category do not need to include detailed financial data such as balance sheet, etc. Open data from company registers may be used for many ends: e.g. enabling customers and businesses to see with whom they deal, or to see where a company has registered offices. This definition draws on the work of <a href=""http://api.opencorporates.com/documentation/API-Reference"">OpenCorporates</a>.</p>
",Name of company;Company address;Unique identifier of the company;Register available for entire country,month,Civic Information,,3,10,30,Company Register
