,#RIC,Date[G],Time[G],GMT Offset,Type,Ex/Cntrb.ID,Price,Volume,Buyer ID,Bid Price,Bid Size,No. Buyers,Seller ID,Ask Price,Ask Size,No. Sellers,Qualifiers,Exch Time
0,HMb.ST,20090701,06:44:59.598514,2,Quote,,,,,385.0,3370.0,,,,,,,
1,HMb.ST,20090701,06:44:59.598514,2,Quote,,,,,,,,,385.0,3868.0,,,
2,HMb.ST,20090701,06:49:43.089521,2,Quote,,,,,,,,,,3888.0,,,
3,HMb.ST,20090701,06:50:27.336043,2,Quote,,,,,,,,,,4938.0,,,
4,HMb.ST,20090701,06:50:28.333304,2,Quote,,,,,,,,,,4688.0,,,
5,HMb.ST,20090701,06:50:41.113051,2,Quote,,,,,,3630.0,,,,,,,
6,HMb.ST,20090701,06:50:41.704295,2,Quote,,,,,,,,,,4769.0,,,
7,HMb.ST,20090701,06:50:43.534799,2,Quote,,,,,,3701.0,,,,,,,
8,HMb.ST,20090701,06:50:47.558689,2,Quote,,,,,,,,,,4829.0,,,
9,HMb.ST,20090701,06:51:12.102924,2,Quote,,,,,,4000.0,,,,,,,
10,HMb.ST,20090701,06:51:12.102924,2,Quote,,,,,,,,,,4919.0,,,
11,HMb.ST,20090701,06:51:12.963325,2,Quote,,,,,,4690.0,,,,,,,
12,HMb.ST,20090701,06:51:13.086660,2,Quote,,,,,,,,,,5106.0,,,
13,HMb.ST,20090701,06:51:20.609239,2,Quote,,,,,,,,,,5606.0,,,
14,HMb.ST,20090701,06:51:21.339062,2,Quote,,,,,,4899.0,,,,,,,
15,HMb.ST,20090701,06:51:37.332812,2,Quote,,,,,,4905.0,,,,,,,
16,HMb.ST,20090701,06:52:09.743378,2,Quote,,,,,,,,,,6048.0,,,
17,HMb.ST,20090701,06:52:43.974291,2,Quote,,,,,,5490.0,,,,,,,
18,HMb.ST,20090701,06:52:44.038869,2,Quote,,,,,,,,,,6239.0,,,
19,HMb.ST,20090701,06:53:11.698610,2,Quote,,,,,,,,,,7616.0,,,
20,HMb.ST,20090701,06:55:02.773583,2,Quote,,,,,,,,,,7641.0,,,
21,HMb.ST,20090701,06:55:11.472022,2,Quote,,,,,,5769.0,,,,,,,
22,HMb.ST,20090701,06:55:40.881953,2,Quote,,,,,,6363.0,,,,,,,
23,HMb.ST,20090701,06:55:41.053807,2,Quote,,,,,,,,,,7854.0,,,
24,HMb.ST,20090701,06:56:01.462732,2,Quote,,,,,,9763.0,,,,,,,
25,HMb.ST,20090701,06:56:01.505982,2,Quote,,,,,,9800.0,,,,,,,
26,HMb.ST,20090701,06:56:01.505982,2,Quote,,,,,,,,,,8252.0,,,
27,HMb.ST,20090701,06:56:19.776505,2,Quote,,,,,,12039.0,,,,,,,
28,HMb.ST,20090701,06:56:21.216934,2,Quote,,,,,,12263.0,,,,,,,
29,HMb.ST,20090701,06:57:19.488843,2,Quote,,,,,,12863.0,,,,,,,
30,HMb.ST,20090701,06:58:28.239178,2,Quote,,,,,,,,,,8337.0,,,
31,HMb.ST,20090701,06:58:48.264540,2,Quote,,,,,,12913.0,,,,,,,
32,HMb.ST,20090701,06:59:01.473423,2,Quote,,,,,,,,,,8757.0,,,
33,HMb.ST,20090701,06:59:01.539234,2,Quote,,,,,,,,,,8987.0,,,
34,HMb.ST,20090701,06:59:02.073567,2,Quote,,,,,,,,,,9216.0,,,
35,HMb.ST,20090701,06:59:03.051777,2,Quote,,,,,,,,,,9257.0,,,
36,HMb.ST,20090701,06:59:03.847355,2,Quote,,,,,,,,,,9720.0,,,
37,HMb.ST,20090701,06:59:04.053871,2,Quote,,,,,,,,,,9877.0,,,
38,HMb.ST,20090701,06:59:22.333999,2,Quote,,,,,,13413.0,,,,,,,
39,HMb.ST,20090701,06:59:29.584797,2,Quote,,,,,,,,,,11852.0,,,
40,HMb.ST,20090701,06:59:30.056036,2,Quote,,,,,,,,,,12467.0,,,
41,HMb.ST,20090701,06:59:49.885071,2,Quote,,,,,,13776.0,,,,,,,
42,HMb.ST,20090701,06:59:49.918397,2,Quote,,,,,,14139.0,,,,,,,
43,HMb.ST,20090701,06:59:53.278992,2,Quote,,,,,,15139.0,,,,,,,
44,HMb.ST,20090701,06:59:56.116805,2,Quote,,,,,,15539.0,,,,,,,
45,HMb.ST,20090701,06:59:58.045874,2,Quote,,,,,,15638.0,,,,,,,
46,HMb.ST,20090701,06:59:58.382630,2,Quote,,,,,,15737.0,,,,,,,
47,HMb.ST,20090701,07:00:00.312837,2,Quote,,,,,,15764.0,,,,,,,
48,HMb.ST,20090701,07:00:10.238997,2,Quote,,,,,,,,,,13089.0,,,
49,HMb.ST,20090701,07:00:10.627040,2,Quote,,,,,,,,,,13283.0,,,
50,HMb.ST,20090701,07:00:33.009588,2,Quote,,,,,,16932.0,,,,,,,
51,HMb.ST,20090701,07:00:53.446686,2,Quote,,,,,,17932.0,,,,,,,
52,HMb.ST,20090701,07:01:06.764935,2,Quote,,,,,,19100.0,,,,,,,
53,HMb.ST,20090701,07:01:35.305248,2,Quote,,,,,,19120.0,,,,,,,
54,HMb.ST,20090701,07:01:43.870125,2,Quote,,,,,,,,,385.5,2065.0,,,
55,HMb.ST,20090701,07:01:43.897410,2,Quote,,,,,385.5,15955.0,,,,,,,
56,HMb.ST,20090701,07:01:43.897410,2,Quote,,,,,,,,,,15348.0,,,
57,HMb.ST,20090701,07:01:44.035117,2,Quote,,,,,,,,,,15991.0,,,
58,HMb.ST,20090701,07:01:48.183586,2,Quote,,,,,0.0,0.0,,,0.0,0.0,,,
59,HMb.ST,20090701,07:01:48.214787,2,Trade,,385.5,4.0,ENS ,,,,ENS ,,,,15b cYd e f5 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],07:01:48.000
60,HMb.ST,20090701,07:01:48.214787,2,Trade,,385.5,63.0,ENS ,,,,ENS ,,,,15b cYd e f5 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],07:01:48.000
61,HMb.ST,20090701,07:01:48.214787,2,Trade,,385.5,47.0,ENS ,,,,ENS ,,,,15b cYd e f5 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],07:01:48.000
62,HMb.ST,20090701,07:01:48.214787,2,Trade,,385.5,33.0,ENS ,,,,ENS ,,,,15b cYd e f5 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],07:01:48.000
63,HMb.ST,20090701,07:01:48.214787,2,Trade,,385.5,67.0,ENS ,,,,UBS ,,,,15b cYd e f5 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],07:01:48.000
64,HMb.ST,20090701,07:01:48.214787,2,Trade,,385.5,65.0,ENS ,,,,UBS ,,,,15b cYd e f5 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],07:01:48.000
65,HMb.ST,20090701,07:01:48.214787,2,Trade,,385.5,50.0,ENS ,,,,UBS ,,,,15b cYd e f5 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],07:01:48.000
66,HMb.ST,20090701,07:01:48.214787,2,Trade,,385.5,590.0,CAZ ,,,,UBS ,,,,15b cYd e f5 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],07:01:48.000
67,HMb.ST,20090701,07:01:48.231086,2,Trade,,385.5,37.0,CSB ,,,,UBS ,,,,15b cYd e f5 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],07:01:48.000
68,HMb.ST,20090701,07:01:48.231086,2,Trade,,385.5,71.0,UBS ,,,,UBS ,,,,15b cYd e f5 g1[ALIAS]; 99[IRGCOND];   [PRC_QL2],07:01:48.000
