,#RIC,Date[G],Time[G],GMT Offset,Type,Ex/Cntrb.ID,Price,Volume,Buyer ID,Bid Price,Bid Size,No. Buyers,Seller ID,Ask Price,Ask Size,No. Sellers,Qualifiers,Exch Time
0,NOKI.ST,20090701,06:45:28.104050,2,Quote,,,,,116.4,1400.0,,,,,,,
1,NOKI.ST,20090701,06:45:28.104050,2,Quote,,,,,,,,,116.4,1900.0,,,
2,NOKI.ST,20090701,06:48:26.335503,2,Quote,,,,,,1600.0,,,,,,,
3,NOKI.ST,20090701,06:49:48.696436,2,Quote,,,,,,,,,,2080.0,,,
4,NOKI.ST,20090701,06:53:08.885346,2,Quote,,,,,,,,,,2388.0,,,
5,NOKI.ST,20090701,06:55:37.662316,2,Quote,,,,,113.2,930.0,,,,,,,
6,NOKI.ST,20090701,06:55:37.778199,2,Quote,,,,,116.2,1600.0,,,,,,,
7,NOKI.ST,20090701,06:55:37.778199,2,Quote,,,,,,,,,116.2,3688.0,,,
8,NOKI.ST,20090701,06:59:04.053789,2,Quote,,,,,113.8,400.0,,,,,,,
9,NOKI.ST,20090701,06:59:04.053789,2,Quote,,,,,116.1,1600.0,,,,,,,
10,NOKI.ST,20090701,06:59:04.053789,2,Quote,,,,,,,,,116.1,3888.0,,,
11,NOKI.ST,20090701,06:59:32.275653,2,Quote,,,,,113.7,400.0,,,,,,,
12,NOKI.ST,20090701,06:59:32.275653,2,Quote,,,,,115.5,1600.0,,,,,,,
13,NOKI.ST,20090701,06:59:32.275653,2,Quote,,,,,,,,,115.5,2363.0,,,
14,NOKI.ST,20090701,07:00:00.868517,2,Quote,,,,,113.5,1000.0,,,,,,,
15,NOKI.ST,20090701,07:00:00.868517,2,Quote,,,,,115.4,1600.0,,,,,,,
16,NOKI.ST,20090701,07:00:00.868517,2,Quote,,,,,,,,,115.4,2058.0,,,
17,NOKI.ST,20090701,07:00:03.747563,2,Quote,,,,,113.4,847.0,,,,,,,
18,NOKI.ST,20090701,07:00:03.747563,2,Quote,,,,,,3447.0,,,,,,,
19,NOKI.ST,20090701,07:00:03.747563,2,Quote,,,,,,,,,113.4,10308.0,,,
20,NOKI.ST,20090701,07:00:03.799122,2,Quote,,,,,113.2,930.0,,,,,,,
21,NOKI.ST,20090701,07:00:03.799122,2,Quote,,,,,113.3,3447.0,,,,,,,
22,NOKI.ST,20090701,07:00:03.799122,2,Quote,,,,,,,,,113.3,4308.0,,,
23,NOKI.ST,20090701,07:00:03.965445,2,Quote,,,,,,,,,113.4,10000.0,,,
24,NOKI.ST,20090701,07:00:03.965445,2,Quote,,,,,113.2,930.0,,,,,,,
25,NOKI.ST,20090701,07:00:03.965445,2,Quote,,,,,113.4,3447.0,,,,,,,
26,NOKI.ST,20090701,07:00:03.965445,2,Quote,,,,,,,,,,10308.0,,,
27,NOKI.ST,20090701,07:00:03.965445,2,Quote,,,,,,,,,,8308.0,,,
28,NOKI.ST,20090701,07:00:03.965445,2,Quote,,,,,,,,,,17808.0,,,
29,NOKI.ST,20090701,07:00:04.029990,2,Quote,,,,,,,,,,19808.0,,,
30,NOKI.ST,20090701,07:00:04.029990,2,Quote,,,,,113.2,930.0,,,,,,,
31,NOKI.ST,20090701,07:00:04.029990,2,Quote,,,,,113.3,3447.0,,,,,,,
32,NOKI.ST,20090701,07:00:04.029990,2,Quote,,,,,,,,,113.3,4308.0,,,
33,NOKI.ST,20090701,07:00:04.068827,2,Quote,,,,,,,,,,6308.0,,,
34,NOKI.ST,20090701,07:00:04.068827,2,Quote,,,,,,,,,,15808.0,,,
35,NOKI.ST,20090701,07:00:04.337302,2,Quote,,,,,,,,,,13808.0,,,
36,NOKI.ST,20090701,07:00:04.455874,2,Quote,,,,,,,,,,15808.0,,,
37,NOKI.ST,20090701,07:00:04.455874,2,Quote,,,,,,,,,,19808.0,,,
38,NOKI.ST,20090701,07:00:05.050427,2,Quote,,,,,,,,,,15808.0,,,
39,NOKI.ST,20090701,07:00:05.050427,2,Quote,,,,,,,,,,13808.0,,,
40,NOKI.ST,20090701,07:00:05.100057,2,Quote,,,,,,,,,,4308.0,,,
41,NOKI.ST,20090701,07:00:05.299572,2,Quote,,,,,,,,,,6308.0,,,
42,NOKI.ST,20090701,07:00:05.422118,2,Quote,,,,,,,,,,15808.0,,,
43,NOKI.ST,20090701,07:00:05.426584,2,Quote,,,,,,,,,,6308.0,,,
44,NOKI.ST,20090701,07:00:05.534064,2,Quote,,,,,,,,,,4308.0,,,
45,NOKI.ST,20090701,07:00:06.398307,2,Quote,,,,,,,,,113.4,15500.0,,,
46,NOKI.ST,20090701,07:00:06.398307,2,Quote,,,,,113.2,930.0,,,,,,,
47,NOKI.ST,20090701,07:00:06.489919,2,Quote,,,,,113.4,3447.0,,,,,,,
48,NOKI.ST,20090701,07:00:06.489919,2,Quote,,,,,,,,,,15808.0,,,
49,NOKI.ST,20090701,07:00:08.477131,2,Quote,,,,,,,,,,13808.0,,,
50,NOKI.ST,20090701,07:00:11.957380,2,Quote,,,,,,,,,,15808.0,,,
51,NOKI.ST,20090701,07:00:11.957380,2,Quote,,,,,,,,,,6308.0,,,
52,NOKI.ST,20090701,07:00:11.957380,2,Quote,,,,,,,,,,15808.0,,,
53,NOKI.ST,20090701,07:00:12.190653,2,Quote,,,,,,,,,,13808.0,,,
54,NOKI.ST,20090701,07:00:12.190653,2,Quote,,,,,,,,,,9808.0,,,
55,NOKI.ST,20090701,07:00:12.290835,2,Quote,,,,,,,,,113.5,4000.0,,,
56,NOKI.ST,20090701,07:00:12.290835,2,Quote,,,,,113.5,2600.0,,,,,,,
57,NOKI.ST,20090701,07:00:12.290835,2,Quote,,,,,,,,,,4308.0,,,
58,NOKI.ST,20090701,07:00:13.908908,2,Quote,,,,,113.4,847.0,,,,,,,
59,NOKI.ST,20090701,07:00:13.908908,2,Quote,,,,,,3447.0,,,,,,,
60,NOKI.ST,20090701,07:00:13.908908,2,Quote,,,,,,,,,113.4,4308.0,,,
61,NOKI.ST,20090701,07:00:14.234918,2,Quote,,,,,,,,,,6308.0,,,
62,NOKI.ST,20090701,07:00:15.407270,2,Quote,,,,,,,,,,8308.0,,,
63,NOKI.ST,20090701,07:00:15.407270,2,Quote,,,,,,,,,,17808.0,,,
64,NOKI.ST,20090701,07:00:15.407270,2,Quote,,,,,,,,,,15808.0,,,
65,NOKI.ST,20090701,07:00:15.455459,2,Quote,,,,,,,,,,6308.0,,,
66,NOKI.ST,20090701,07:00:15.574201,2,Quote,,,,,,,,,,4308.0,,,
67,NOKI.ST,20090701,07:00:17.074419,2,Quote,,,,,,,,,113.5,13500.0,,,
68,NOKI.ST,20090701,07:00:17.074419,2,Quote,,,,,113.5,2600.0,,,,,,,
69,NOKI.ST,20090701,07:00:17.074419,2,Quote,,,,,,,,,,15808.0,,,
70,NOKI.ST,20090701,07:00:17.074419,2,Quote,,,,,,,,,,17808.0,,,
71,NOKI.ST,20090701,07:00:18.061655,2,Quote,,,,,,,,,,8308.0,,,
72,NOKI.ST,20090701,07:00:18.978257,2,Quote,,,,,113.4,847.0,,,,,,,
73,NOKI.ST,20090701,07:00:18.978257,2,Quote,,,,,,3447.0,,,,,,,
74,NOKI.ST,20090701,07:00:19.042638,2,Quote,,,,,,,,,113.4,4308.0,,,
75,NOKI.ST,20090701,07:00:19.631153,2,Quote,,,,,,,,,,6308.0,,,
76,NOKI.ST,20090701,07:00:26.027253,2,Quote,,,,,,,,,,15808.0,,,
77,NOKI.ST,20090701,07:00:26.701316,2,Quote,,,,,,,,,,17808.0,,,
78,NOKI.ST,20090701,07:00:27.882033,2,Quote,,,,,,,,,,15808.0,,,
79,NOKI.ST,20090701,07:00:30.062187,2,Quote,,,,,,,,,,17808.0,,,
80,NOKI.ST,20090701,07:00:30.062187,2,Quote,,,,,113.2,930.0,,,,,,,
81,NOKI.ST,20090701,07:00:30.062187,2,Quote,,,,,113.3,3447.0,,,,,,,
82,NOKI.ST,20090701,07:00:30.115971,2,Quote,,,,,,,,,113.3,4308.0,,,
83,NOKI.ST,20090701,07:00:30.115971,2,Quote,,,,,,,,,,13808.0,,,
84,NOKI.ST,20090701,07:00:31.919877,2,Quote,,,,,,,,,,15808.0,,,
85,NOKI.ST,20090701,07:00:31.919877,2,Quote,,,,,,,,,,21808.0,,,
86,NOKI.ST,20090701,07:00:33.262427,2,Quote,,,,,,3519.0,,,,,,,
87,NOKI.ST,20090701,07:00:34.580509,2,Quote,,,,,,,,,,19808.0,,,
88,NOKI.ST,20090701,07:00:37.979087,2,Quote,,,,,,,,,,21808.0,,,
89,NOKI.ST,20090701,07:00:42.125606,2,Quote,,,,,,,,,,12308.0,,,
90,NOKI.ST,20090701,07:00:46.163620,2,Quote,,,,,,,,,,21808.0,,,
91,NOKI.ST,20090701,07:00:56.182799,2,Quote,,,,,,,,,,12308.0,,,
92,NOKI.ST,20090701,07:01:00.716046,2,Quote,,,,,,,,,,10308.0,,,
93,NOKI.ST,20090701,07:01:00.716046,2,Quote,,,,,,,,,,8308.0,,,
94,NOKI.ST,20090701,07:01:01.961267,2,Quote,,,,,,,,,,14308.0,,,
95,NOKI.ST,20090701,07:01:03.945961,2,Quote,,,,,,,,,,16308.0,,,
96,NOKI.ST,20090701,07:01:06.947320,2,Quote,,,,,,,,,,14308.0,,,
97,NOKI.ST,20090701,07:01:06.947320,2,Quote,,,,,,,,,,12308.0,,,
98,NOKI.ST,20090701,07:01:06.947320,2,Quote,,,,,,,,,,10308.0,,,
99,NOKI.ST,20090701,07:01:07.633083,2,Quote,,,,,,3591.0,,,,,,,
100,NOKI.ST,20090701,07:01:09.251662,2,Quote,,,,,,,,,,19808.0,,,
101,NOKI.ST,20090701,07:01:10.760967,2,Quote,,,,,,,,,,17808.0,,,
102,NOKI.ST,20090701,07:01:10.812795,2,Quote,,,,,,,,,,15808.0,,,
103,NOKI.ST,20090701,07:01:10.812795,2,Quote,,,,,,,,,,13808.0,,,
104,NOKI.ST,20090701,07:01:10.812795,2,Quote,,,,,,,,,,11808.0,,,
105,NOKI.ST,20090701,07:01:10.812795,2,Quote,,,,,,,,,113.4,4000.0,,,
106,NOKI.ST,20090701,07:01:10.853751,2,Quote,,,,,113.2,930.0,,,,,,,
107,NOKI.ST,20090701,07:01:10.853751,2,Quote,,,,,113.4,3591.0,,,,,,,
108,NOKI.ST,20090701,07:01:10.853751,2,Quote,,,,,,,,,,15808.0,,,
109,NOKI.ST,20090701,07:01:10.853751,2,Quote,,,,,,,,,,13808.0,,,
110,NOKI.ST,20090701,07:01:10.911641,2,Quote,,,,,113.2,930.0,,,,,,,
111,NOKI.ST,20090701,07:01:10.911641,2,Quote,,,,,113.3,3591.0,,,,,,,
112,NOKI.ST,20090701,07:01:10.911641,2,Quote,,,,,,,,,113.3,8308.0,,,
